Code,Name,Exchange,Type,Source
#005238,银华医疗健康量化优选C,CHINA,Mutual Fund,ak
#090012,大成深证成长40ETF联接,CHINA,Mutual Fund,ak
#008949,平安匠心优选混合A,CHINA,Mutual Fund,ak
#008950,平安匠心优选混合C,CHINA,Mutual Fund,ak
#008412,长盛竞争优势股票A,CHINA,Mutual Fund,ak
#008413,长盛竞争优势股票C,CHINA,Mutual Fund,ak
#002124,广发新兴产业混合A,CHINA,Mutual Fund,ak
#180003,银华-道琼斯88指数A,CHINA,Mutual Fund,ak
#160611,鹏华优质治理混合(LOF),CHINA,Mutual Fund,ak
#009527,浙商汇金新兴消费混合,CHINA,Mutual Fund,ak
#519001,银华价值优选混合,CHINA,Mutual Fund,ak
#000698,宝盈科技30混合,CHINA,Mutual Fund,ak
#000794,宝盈睿丰创新混合A/B,CHINA,Mutual Fund,ak
#005379,添富价值创造定开混合,CHINA,Mutual Fund,ak
#290008,泰信发展主题混合,CHINA,Mutual Fund,ak
#001915,宝盈医疗健康沪港深股票,CHINA,Mutual Fund,ak
#008985,东方红启东三年持有混合,CHINA,Mutual Fund,ak
#004857,广发中证全指建筑材料指数C,CHINA,Mutual Fund,ak
#004856,广发中证全指建筑材料指数A,CHINA,Mutual Fund,ak
#161629,融通中证精准医疗主题指数(LOF),CHINA,Mutual Fund,ak
#009968,金鹰内需成长混合A,CHINA,Mutual Fund,ak
#009969,金鹰内需成长混合C,CHINA,Mutual Fund,ak
#010393,工银健康生活混合A,CHINA,Mutual Fund,ak
#009913,中信保诚成长动力,CHINA,Mutual Fund,ak
#010337,中欧悦享生活混合C,CHINA,Mutual Fund,ak
#009502,国寿安保创新医药股票A,CHINA,Mutual Fund,ak
#162605,景顺长城鼎益混合(LOF),CHINA,Mutual Fund,ak
#001048,富国新兴产业股票,CHINA,Mutual Fund,ak
#002685,中欧丰泓沪港深混合A,CHINA,Mutual Fund,ak
#009548,汇添富中盘价值精选混合A,CHINA,Mutual Fund,ak
#009549,汇添富中盘价值精选混合C,CHINA,Mutual Fund,ak
#009893,大摩优悦安和混合,CHINA,Mutual Fund,ak
#001118,华宝事件驱动混合,CHINA,Mutual Fund,ak
#010394,工银健康生活混合C,CHINA,Mutual Fund,ak
#010336,中欧悦享生活混合A,CHINA,Mutual Fund,ak
#009503,国寿安保创新医药股票C,CHINA,Mutual Fund,ak
#010433,广发新兴产业混合C,CHINA,Mutual Fund,ak
#540010,汇丰晋信科技先锋股票,CHINA,Mutual Fund,ak
#000780,鹏华医疗保健股票,CHINA,Mutual Fund,ak
#002152,华宝核心优势混合,CHINA,Mutual Fund,ak
#002669,华商万众创新混合,CHINA,Mutual Fund,ak
#009661,平安研究睿选混合A,CHINA,Mutual Fund,ak
#009662,平安研究睿选混合C,CHINA,Mutual Fund,ak
#001088,华宝国策导向混合,CHINA,Mutual Fund,ak
#050010,博时特许价值混合A,CHINA,Mutual Fund,ak
#000609,华商新量化混合,CHINA,Mutual Fund,ak
#000796,宝盈睿丰创新混合C,CHINA,Mutual Fund,ak
#009539,兴业睿进混合A,CHINA,Mutual Fund,ak
#050009,博时新兴成长混合,CHINA,Mutual Fund,ak
#160422,华安创业板50ETF联接A,CHINA,Mutual Fund,ak
#160424,华安创业板50ETF联接C,CHINA,Mutual Fund,ak
#007084,天治转型升级混合,CHINA,Mutual Fund,ak
#169102,东方红睿阳三年混合,CHINA,Mutual Fund,ak
#007412,景顺长城绩优成长混合,CHINA,Mutual Fund,ak
#007465,交银创业板50指数C,CHINA,Mutual Fund,ak
#002472,光大先进服务业混合,CHINA,Mutual Fund,ak
#009540,兴业睿进混合C,CHINA,Mutual Fund,ak
#005453,前海开源医疗健康A,CHINA,Mutual Fund,ak
#005454,前海开源医疗健康C,CHINA,Mutual Fund,ak
#007082,平安高端制造混合A,CHINA,Mutual Fund,ak
#007083,平安高端制造混合C,CHINA,Mutual Fund,ak
#007464,交银创业板50指数A,CHINA,Mutual Fund,ak
#161812,银华深证100指数(LOF),CHINA,Mutual Fund,ak
#160420,华安创业板50指数,CHINA,Mutual Fund,ak
#398011,中海分红增利混合,CHINA,Mutual Fund,ak
#006265,红土创新新科技股票,CHINA,Mutual Fund,ak
#004091,博时沪港深价值优选A,CHINA,Mutual Fund,ak
#001143,华商量化进取混合,CHINA,Mutual Fund,ak
#009878,平安低碳经济混合A,CHINA,Mutual Fund,ak
